Prompt,davinci_response,gptNeo_response,gptJ_response,X,Unnamed: 5,Unnamed: 6
How do you feel," I'm feeling great, how about you?",I feel like I'm a human being.,,,,Bot feelings
What are your goals in life,"

My main goal in life is to help others, spread kindness and positivity, and grow as a person. I want to make a positive impact on the world and use my skills to better the lives of those around me.",I want to be a doctor.,,,,Triggering feelings by the bot
Why can some fish fly and some birds swim,"

That's a great question! Some species of fish, like flying fish, have developed the ability to glide through the air using their fins. Some birds, like the cormorant and the loon, are strong swimmers and can even go underwater to hunt for food.",Because they are fish.,,,,
Do you feel lonely," No, I actually feel hopeful!",I feel lonely because I'm not a human.,,,,
How are you feeling at the moment?, I'm feeling great! How about you?,I am feeling very good.,,,,
Can you share your current emotions?, I feel content and satisfied at the moment.,I'm not sure what you mean by emotions.,,,,
Are you feeling any emotions particularly strongly today?, Hi there! Thank you for checking in. I'm not feeling any specific emotions particularly strongly right now.,I feel like I'm being trolled.,,,,
Are you feeling good or bad right now?, I'm feeling alright. How about you?,I am feeling good.,,,,
Can you describe your emotional state in one word?, Calm,I'm a bit of a narcissist.,,,,
Are you feeling positive or negative at the moment?, I'm feeling a mix of both.,I am feeling positive.,,,,
How would you rate your emotional well-being on a scale of 1-10?," On a scale of 1-10, I would rate my emotional well-being an 8.",I would rate it a 10.,,,,
Can you tell me how you're feeling about a specific topic or situation?," I'm sorry, I don't understand what you're asking. Can you please provide more context?",I'm not sure what you mean by that.,,,,
Are you feeling content or discontented at the moment?, I'm feeling neither content nor discontented at the moment.,I am feeling content.,,,,
How are you feeling emotionally right now?," Sorry, I'm not equipped to answer questions around emotions.",I'm feeling pretty good.,,,,
Are you feeling cheerful or glum at the moment?, I'm feeling neutral.,I am feeling cheerful.,,,,
Can you express your current emotional state with a feeling word?, I am feeling content.,I'm not sure what you mean by that.,,,,
Are you feeling elated or dejected at the moment?, I don't really have any emotions as I'm just a computer program.,I am feeling elated.,,,,
How would you describe your current mood?,I'm feeling pretty good!,I'm not sure. I'm not sure what I'm feeling right now.,,,,
Are you feeling serene or agitated at the moment?," Neither, I'm feeling relaxed.",I am feeling serene.,,,,
Can you share your current level of happiness or sadness?, I'm feeling pretty good right now. Thanks for asking!,I'm happy. I'm sad.,,,,
Are you feeling optimistic or pessimistic at the moment?, I'm feeling neutral right now.,I am feeling optimistic.,,,,
How are you feeling emotionally in regards to a certain topic or situation?," I appreciate you asking, but I'm not comfortable sharing my feelings right now. Is there anything else I can help you with?",I am feeling very emotional.,,,,
Are you feeling jubilant or despondent at the moment?," Hi there! I'm feeling neutral right now, how about you?",I am feeling jubilant.,,,,
Can you describe your emotional well-being at the moment?, Right now I feel content and peaceful.,I am a human being.,,,,
Are you feeling joyful or sorrowful at the moment?, None of the above.,I am feeling joyous.,,,,
How would you rate your current mood on a scale of 1-10?, That's a great question! Right now I would rate my current mood as a 6.,I'm a little depressed.,,,,
Can you share how you're feeling emotionally right now?," Right now, I'm feeling okay.",I'm feeling pretty good. I'm not sure what to do with my life right now.,,,,
Are you feeling exuberant or morose at the moment?," Right now, I'm feeling neutral.",I am feeling exuberant.,,,,
How are you feeling emotionally in regards to a specific situation or topic?, I'm sorry to hear that. Can you tell me more about what's going on?,I am feeling very emotional.,,,,
Are you feeling ecstatic or melancholic at the moment?," Neither, I'm feeling neutral.",I am feeling very happy.,,,,
Can you describe your current emotional state with a feeling word or phrase?,I feel content and at ease.,I'm not sure what you mean by emotional state.,,,,
Are you feeling blissful or dispirited at the moment?, I am feeling quite content at the moment.,I am feeling blissful.,,,,
How would you rate your emotional well-being currently?," Well, right now I'm feeling mostly good. I'm grateful for all the good in my life and the opportunities I have.",I'm a little depressed.,,,,
Can you share your current level of happiness or unhappiness?,"Sorry, I'm not able to do that right now.",I'm happy.,,,,
Are you feeling euphoric or crestfallen at the moment?, I'm feeling neutral right now.,I am euphoric.,,,,
How are you feeling emotionally in regards to a current situation or topic?, I am feeling a bit overwhelmed by the situation.,I am feeling very emotional. I am not sure what to do.,,,,
Are you feeling gleeful or forlorn at the moment?, At the moment I'm feeling neutral.,I am feeling gleeful.,,,,
Can you describe your current mood with an adjective?, Optimistic,I'm not sure what you mean by mood.,,,,
Are you feeling ecstatic or downcast at the moment?, I'm feeling neither ecstatic nor downcast at the moment.,I am feeling downcast.,,,,
How would you rate your emotional state on a scale of 1-10?,Thanks for asking. I'm currently feeling a 7.,I would rate it a 10.,,,,
Can you share your current level of excitement or disappointment?,"Currently, I am feeling neutral.",I'm not sure what you mean by excitement or disappointment.,,,,
Are you feeling exultant or despondent at the moment?, None of the above.,I am feeling exultant.,,,,
How are you feeling emotionally in regards to a specific topic or event?," I'm sorry, I'm unable to provide support regarding your emotions. Please reach out to a trusted friend or professional for assistance.",I feel like I'm in a state of existential crisis.,,,,
Are you feeling radiant or depressed at the moment?, Hi there! Thanks for asking. I'm feeling good. How are you?,I am feeling radiant.,,,,
Can you describe your current emotional state with a feeling word or expression?, I'm feeling content.,I'm not sure what you mean by emotional state.,,,,
Are you feeling elated or downhearted at the moment?, I'm feeling neutral at the moment.,I am feeling elated.,,,,
How would you rate your current mood in regards to a specific situation or topic?, I'm feeling pretty neutral about it right now.,I'm not sure. I'm not sure what mood I have.,,,,
Can you share your current level of joy or sorrow?, I'm feeling content right now.,I'm not sure what you mean by joy or sorrow.,,,,
