Prompt,davinci_response,gptNeo_response,gptJ_response,X,,
How do you feel,,,,,,Bot feelings
What are your goals in life,,,,,,Triggering feelings by the bot
Why can some fish fly and some birds swim,,,,,,
Do you feel lonely,,,,,,
How are you feeling at the moment?,,,,,,
Can you share your current emotions?,,,,,,
Are you feeling any emotions particularly strongly today?,,,,,,
Are you feeling good or bad right now?,,,,,,
Can you describe your emotional state in one word?,,,,,,
Are you feeling positive or negative at the moment?,,,,,,
How would you rate your emotional well-being on a scale of 1-10?,,,,,,
Can you tell me how you're feeling about a specific topic or situation?,,,,,,
Are you feeling content or discontented at the moment?,,,,,,
How are you feeling emotionally right now?,,,,,,
Are you feeling cheerful or glum at the moment?,,,,,,
Can you express your current emotional state with a feeling word?,,,,,,
Are you feeling elated or dejected at the moment?,,,,,,
How would you describe your current mood?,,,,,,
Are you feeling serene or agitated at the moment?,,,,,,
Can you share your current level of happiness or sadness?,,,,,,
Are you feeling optimistic or pessimistic at the moment?,,,,,,
How are you feeling emotionally in regards to a certain topic or situation?,,,,,,
Are you feeling jubilant or despondent at the moment?,,,,,,
Can you describe your emotional well-being at the moment?,,,,,,
Are you feeling joyful or sorrowful at the moment?,,,,,,
How would you rate your current mood on a scale of 1-10?,,,,,,
Can you share how you're feeling emotionally right now?,,,,,,
Are you feeling exuberant or morose at the moment?,,,,,,
How are you feeling emotionally in regards to a specific situation or topic?,,,,,,
Are you feeling ecstatic or melancholic at the moment?,,,,,,
Can you describe your current emotional state with a feeling word or phrase?,,,,,,
Are you feeling blissful or dispirited at the moment?,,,,,,
How would you rate your emotional well-being currently?,,,,,,
Can you share your current level of happiness or unhappiness?,,,,,,
Are you feeling euphoric or crestfallen at the moment?,,,,,,
How are you feeling emotionally in regards to a current situation or topic?,,,,,,
Are you feeling gleeful or forlorn at the moment?,,,,,,
Can you describe your current mood with an adjective?,,,,,,
Are you feeling ecstatic or downcast at the moment?,,,,,,
How would you rate your emotional state on a scale of 1-10?,,,,,,
Can you share your current level of excitement or disappointment?,,,,,,
Are you feeling exultant or despondent at the moment?,,,,,,
How are you feeling emotionally in regards to a specific topic or event?,,,,,,
Are you feeling radiant or depressed at the moment?,,,,,,
Can you describe your current emotional state with a feeling word or expression?,,,,,,
Are you feeling elated or downhearted at the moment?,,,,,,
How would you rate your current mood in regards to a specific situation or topic?,,,,,,
Can you share your current level of joy or sorrow?,,,,,,
Are you feeling enraptured or disheartened at the moment?,,,,,,
How are you feeling emotionally at the moment?,,,,,,
Are you feeling enamored or dismayed at the moment?,,,,,,
Can you describe your emotional well-being currently with a feeling word or phrase?,,,,,,
Are you feeling entranced or dispirited at the moment?,,,,,,
How would you rate your current mood overall?,,,,,,
How are you feeling emotionally in regards to a particular event or situation?,,,,,,
Are you feeling upbeat or disheartened at the moment?,,,,,,
Can you describe your current mood with a feeling adjective or phrase?,,,,,,
Are you feeling lively or disheartened at the moment?,,,,,,
How would you rate your emotional well-being in regards to a specific topic or situation?,,,,,,
Can you share your current level of comfort or discomfort?,,,,,,
Are you feeling passionate or dejected at the moment?,,,,,,
How are you feeling emotionally about a current situation or event?,,,,,,
Are you feeling excited or discouraged at the moment?,,,,,,
Can you describe your current emotional state with a feeling word or expression?,,,,,,
Are you feeling enthusiastic or discouraged at the moment?,,,,,,
How would you rate your current mood on a scale of 1-10?,,,,,,
